
List of user-set options:

                                    Name   Value                used
                             alpha_for_y = safer-min-dual-infeas  yes
                        file_print_level = 5                     yes
                   hessian_approximation = limited-memory        yes
                           linear_solver = mumps                 yes
                                max_iter = 1000                  yes
                      nlp_scaling_method = gradient-based        yes
                             output_file = IPOPT.out             yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                      sb = yes                   yes
                                     tol = 5e-05                 yes
This is Ipopt version 3.14.11, running with linear solver MUMPS 5.2.1.

Number of nonzeros in equality constraint Jacobian...:    24051
Number of nonzeros in inequality constraint Jacobian.:    23804
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:      238
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      180
                     variables with only upper bounds:        0
Total number of equality constraints.................:      193
Total number of inequality constraints...............:      182
        inequality constraints with only lower bounds:       63
   inequality constraints with lower and upper bounds:       74
        inequality constraints with only upper bounds:       45

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 430r 1.1786126e+00 6.77e-02 6.89e+00  -2.4 4.04e+00    -  1.00e+00 1.00e+00h  1
 431r 1.1807125e+00 6.77e-02 1.92e+00  -2.4 4.24e+00    -  1.00e+00 1.00e+00h  1
 432r 1.1791103e+00 6.77e-02 2.12e+00  -2.4 5.24e+00    -  1.00e+00 5.00e-01h  2
 433r 1.1782836e+00 6.77e-02 5.64e+00  -2.4 3.32e+00    -  1.00e+00 1.00e+00h  1
 434r 1.1789295e+00 6.77e-02 9.47e-01  -2.4 2.35e+00    -  1.00e+00 1.00e+00h  1
 435r 1.1808263e+00 6.77e-02 6.12e-01  -3.4 1.66e+00    -  1.00e+00 9.70e-01f  1
 436r 1.1854092e+00 6.77e-02 1.06e+00  -3.5 3.22e+00    -  1.00e+00 1.00e+00h  1
 437r 1.1916557e+00 6.77e-02 6.31e+00  -3.8 9.67e+00    -  1.00e+00 1.00e+00h  1
 438r 1.1899525e+00 6.77e-02 3.20e-01  -3.9 7.06e+00    -  1.00e+00 1.00e+00h  1
 439r 1.1905654e+00 6.77e-02 1.50e-01  -4.4 1.46e+00    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 440r 1.1945307e+00 6.77e-02 3.68e-01  -4.9 3.57e+00    -  1.00e+00 1.00e+00h  1
 441r 1.1933385e+00 6.77e-02 2.19e-01  -5.7 4.03e+00    -  8.30e-01 5.43e-01h  1
 442r 1.1925237e+00 6.77e-02 1.01e-01  -5.0 2.09e+00    -  1.00e+00 1.00e+00h  1
 443r 1.1943259e+00 6.77e-02 5.02e-02  -5.2 1.56e+00    -  1.00e+00 1.00e+00h  1
 444r 1.1961695e+00 6.77e-02 2.38e-02  -5.8 1.95e+00    -  1.00e+00 1.00e+00h  1
 445r 1.1914565e+00 6.77e-02 5.39e-01  -5.4 3.35e+00    -  1.00e+00 1.00e+00h  1
 446r 1.1935747e+00 6.77e-02 9.16e-02  -5.5 6.32e+00    -  1.00e+00 5.51e-01h  1
 447r 1.1978390e+00 6.77e-02 7.05e-02  -5.5 3.91e+00    -  1.70e-02 6.87e-01H  1
 448r 1.1941569e+00 6.77e-02 4.16e-01  -5.5 4.76e+00    -  8.29e-01 1.00e+00f  1
 449r 1.1953460e+00 6.77e-02 3.93e-01  -5.5 4.49e+00    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 450r 1.1970783e+00 6.77e-02 8.12e-02  -5.5 4.27e+00    -  6.70e-01 8.51e-01H  1
 451r 1.1945411e+00 6.77e-02 1.64e-01  -5.5 3.06e+00    -  5.23e-03 1.00e+00f  1
 452r 1.1956872e+00 6.77e-02 1.50e-02  -5.5 2.15e+00    -  1.00e+00 1.00e+00h  1
 453r 1.1955914e+00 6.77e-02 5.32e-02  -5.5 1.13e+00    -  1.00e+00 1.00e+00h  1
 454r 1.1983875e+00 6.77e-02 8.97e-02  -6.1 3.38e+00    -  1.00e+00 1.00e+00h  1
 455r 1.1974270e+00 6.77e-02 2.27e-01  -5.8 2.49e+00    -  1.00e+00 1.00e+00h  1
 456r 1.1960106e+00 6.77e-02 1.38e-01  -6.5 3.70e+00    -  8.67e-01 7.43e-01h  1
 457r 1.1956525e+00 6.77e-02 1.12e-01  -5.9 6.52e+00    -  1.00e+00 3.50e-01h  1
 458r 1.1979928e+00 6.77e-02 4.36e-03  -6.1 5.54e+00    -  1.00e+00 7.70e-01H  1
 459r 1.1991610e+00 6.77e-02 4.62e-02  -6.3 2.88e+00    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 460r 1.1956788e+00 7.11e-02 4.82e-02  -6.0 6.21e+00    -  7.12e-01 9.39e-01h  1
 461r 1.1950577e+00 6.77e-02 3.64e-02  -6.1 4.24e+00    -  1.00e+00 5.11e-01h  1
 462r 1.1974220e+00 6.77e-02 2.17e-01  -6.1 3.13e+01    -  3.42e-01 2.37e-01h  2
 463r 1.1982023e+00 6.77e-02 4.57e-02  -6.1 1.14e+01    -  1.00e+00 1.05e-01h  2
 464r 1.1974051e+00 6.77e-02 3.77e-03  -6.1 7.00e+00    -  6.33e-01 4.31e-01h  2
 465r 1.1967068e+00 6.77e-02 1.37e-02  -6.1 6.42e+00    -  1.00e+00 4.56e-01h  2
 466r 1.1971637e+00 6.77e-02 1.58e-02  -6.1 2.54e+00    -  1.00e+00 5.76e-01h  1
 467r 1.1965787e+00 6.77e-02 5.95e-02  -6.1 1.71e+00    -  1.00e+00 1.00e+00h  1
 468r 1.1981404e+00 6.77e-02 2.23e-02  -6.8 1.66e+00    -  1.00e+00 1.00e+00h  1
 469r 1.1956116e+00 6.77e-02 2.72e-01  -6.2 3.26e+00    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 470r 1.1967266e+00 6.77e-02 6.91e-02  -6.3 2.21e+00    -  1.00e+00 8.33e-01h  1
 471r 1.1985947e+00 6.77e-02 7.48e-02  -6.3 1.01e+01    -  2.70e-01 2.65e-01f  2
 472r 1.1984561e+00 6.77e-02 5.82e-02  -6.3 2.94e+00    -  1.00e+00 2.07e-01h  1
 473r 1.1978150e+00 6.77e-02 5.07e-03  -6.3 2.78e+00    -  1.00e+00 1.00e+00h  1
 474r 1.1983277e+00 6.77e-02 4.29e-02  -6.3 5.82e+00    -  1.00e+00 4.45e-01h  1
 475r 1.1986283e+00 6.77e-02 4.43e-03  -6.3 3.15e+00    -  4.53e-01 6.08e-01H  1
 476r 1.2017792e+00 1.54e-01 4.32e-02  -6.9 7.44e+00    -  4.02e-03 1.00e+00h  1
 477r 1.1994985e+00 6.77e-02 5.76e-01  -6.8 6.52e+00    -  1.00e+00 1.00e+00h  1
 478r 1.1982398e+00 6.77e-02 2.49e-01  -6.9 8.12e+00    -  1.91e-01 2.94e-01h  1
 479r 1.1968094e+00 6.77e-02 2.16e-02  -5.9 4.00e+00    -  1.00e+00 9.25e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 480r 1.1971876e+00 6.77e-02 3.72e-02  -6.0 1.15e+01    -  1.00e+00 2.57e-01h  2
 481r 1.1971596e+00 6.77e-02 2.58e-02  -6.0 7.03e+00    -  1.57e-01 7.03e-02H  1
 482r 1.1971163e+00 6.77e-02 5.36e-02  -6.0 3.39e+00    -  7.76e-01 2.51e-01h  1
 483r 1.1969955e+00 6.77e-02 1.34e-01  -6.0 9.23e+00    -  2.28e-01 5.00e-01f  2
 484r 1.1995175e+00 6.77e-02 4.88e-02  -6.0 3.76e+00    -  1.00e+00 1.00e+00h  1
 485r 1.1982327e+00 6.77e-02 1.12e-01  -6.0 2.70e+00    -  1.00e+00 8.63e-01h  1
 486r 1.1972251e+00 6.77e-02 3.12e-02  -6.0 4.82e+00    -  8.96e-01 3.09e-01h  2
 487r 1.1972279e+00 6.77e-02 2.99e-02  -6.0 2.96e+00    -  3.22e-01 6.87e-03h  1
 488r 1.1978138e+00 6.77e-02 3.23e-03  -6.0 8.84e-01    -  1.00e+00 1.00e+00f  1
 489r 1.1985320e+00 6.77e-02 1.49e-02  -6.3 7.55e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 490r 1.1988467e+00 6.77e-02 6.38e-03  -6.5 4.64e-01    -  8.89e-01 9.92e-01h  1
 491r 1.1990381e+00 6.77e-02 4.34e-03  -7.1 1.17e-02  -4.0 1.00e+00 1.00e+00h  1
 492r 1.1994491e+00 6.77e-02 9.46e-03  -7.4 8.68e-01    -  1.00e+00 1.00e+00h  1
 493r 1.2001828e+00 6.77e-02 8.27e-03  -8.2 4.23e-01    -  1.00e+00 1.00e+00h  1
 494r 1.2002357e+00 6.77e-02 7.60e-02  -7.5 1.46e+00    -  9.40e-01 9.47e-01h  1
 495r 1.2001423e+00 6.77e-02 5.16e-02  -7.6 9.54e-01    -  8.73e-01 2.99e-01h  1
 496r 1.2002969e+00 6.77e-02 1.04e-02  -7.6 3.23e-01    -  1.00e+00 1.00e+00f  1
 497r 1.2007428e+00 6.77e-02 5.82e-03  -7.9 1.10e+00    -  1.00e+00 9.90e-01h  1
 498r 1.2007240e+00 6.77e-02 4.39e-04  -8.0 6.26e-01    -  9.77e-01 1.00e+00h  1
 499r 1.2006285e+00 6.77e-02 4.95e-04  -8.0 3.30e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 500r 1.2011980e+00 6.77e-02 1.06e-03  -9.0 3.69e-01    -  1.00e+00 1.00e+00h  1
 501r 1.2013899e+00 1.61e-01 1.94e-02  -8.4 1.02e+01    -  4.65e-01 6.50e-01h  1
 502r 1.2008542e+00 1.44e-01 1.12e-02  -8.7 4.43e+01    -  4.58e-02 6.03e-02h  1
 503r 1.2013784e+00 6.77e-02 1.01e-01  -8.7 2.64e+00    -  1.00e+00 5.69e-01h  1
 504r 1.2018713e+00 6.77e-02 8.76e-02  -8.7 1.49e+01    -  4.62e-02 1.21e-01h  1
 505r 1.2014782e+00 6.77e-02 6.60e-02  -8.7 1.71e+01    -  1.10e-01 1.78e-01h  1
 506r 1.2014721e+00 6.77e-02 5.90e-02  -8.7 5.94e-02  -4.5 7.37e-02 5.68e-02h  1
 507r 1.2014939e+00 6.77e-02 2.93e-03  -8.7 1.29e+00    -  4.61e-01 1.00e+00h  1
 508r 1.2012820e+00 6.77e-02 6.45e-03  -8.7 2.86e+00    -  9.48e-02 5.00e-01h  2
 509r 1.2013227e+00 6.77e-02 5.93e-03  -8.7 4.13e+01    -  3.07e-01 5.92e-03h  7
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 510r 1.2012750e+00 6.77e-02 5.58e-03  -8.7 1.02e+01    -  2.42e-01 1.26e-02h  6
 511r 1.2014020e+00 6.77e-02 6.00e-03  -8.7 6.31e+00    -  3.82e-01 2.40e-02h  4
 512r 1.2012234e+00 6.77e-02 1.06e-02  -8.7 2.66e+00    -  1.00e+00 1.00e+00H  1
 513r 1.2002804e+00 6.77e-02 3.39e-03  -8.4 1.15e+00    -  6.39e-01 5.93e-01h  1
 514r 1.2012414e+00 6.77e-02 2.35e-02  -8.6 1.22e+00    -  9.22e-01 7.17e-01h  1
 515r 1.2019935e+00 6.77e-02 3.85e-03  -8.6 1.60e+01    -  1.83e-01 6.59e-02h  1
 516r 1.2017462e+00 6.77e-02 1.41e-02  -8.6 1.39e+01    -  3.48e-01 4.37e-01h  1
 517r 1.2016591e+00 6.77e-02 1.30e-02  -8.6 4.85e+00    -  1.39e-03 2.24e-02h  6
 518r 1.2027841e+00 6.77e-02 2.64e-02  -8.6 8.92e+01    -  2.30e-02 6.41e-02h  1
 519r 1.2025124e+00 6.77e-02 2.01e-02  -8.6 2.69e+01    -  7.29e-02 6.95e-02h  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 520r 1.2022846e+00 6.77e-02 3.23e-02  -8.6 2.73e+01    -  8.06e-02 7.79e-02h  2
 521r 1.2018266e+00 6.77e-02 1.44e-02  -8.6 1.24e+01    -  7.90e-02 8.38e-02h  4
 522r 1.2007450e+00 6.77e-02 3.34e-02  -8.6 5.94e+01    -  3.54e-02 2.88e-02h  3
 523r 1.2006087e+00 6.77e-02 2.35e-02  -8.6 1.85e+02    -  2.59e-02 6.48e-03h  2
 524r 1.2007725e+00 6.77e-02 2.32e-02  -8.6 4.99e+02    -  4.48e-02 1.42e-02h  2
 525r 1.2007968e+00 6.77e-02 2.22e-02  -8.6 1.22e-01  -5.0 8.76e-01 4.77e-02h  4
 526r 1.2007419e+00 6.77e-02 2.10e-02  -8.6 1.55e+01    -  3.38e-01 1.57e-02h  5
 527r 1.2010449e+00 6.77e-02 4.94e-02  -8.6 3.39e+02    -  2.96e-02 1.08e-02h  3
 528r 1.2006024e+00 6.77e-02 3.79e-02  -8.6 1.38e+01    -  1.45e-01 7.43e-02h  3
 529r 1.2012385e+00 6.77e-02 8.84e-03  -8.6 9.49e-02  -5.4 9.85e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 530r 1.2005430e+00 6.77e-02 4.73e-03  -8.6 2.35e+01    -  1.04e-01 5.35e-02h  2
 531r 1.2014713e+00 6.77e-02 6.39e-03  -8.6 7.37e+00    -  1.00e+00 1.00e+00H  1
 532r 1.2016082e+00 6.77e-02 5.71e-03  -8.6 3.36e+01    -  9.00e-02 1.95e-02h  4
 533r 1.2019600e+00 6.77e-02 1.89e-03  -8.6 6.30e+00    -  3.17e-01 3.79e-01h  1
 534r 1.2019007e+00 6.77e-02 8.08e-04  -8.6 5.95e-02  -5.9 1.00e+00 1.00e+00h  1
 535r 1.1991348e+00 1.14e-01 2.21e-02  -8.1 1.43e+01    -  9.81e-01 8.20e-01h  1
 536r 1.1969927e+00 6.77e-02 4.36e-01  -8.2 1.13e+01    -  1.74e-01 5.68e-01h  1
 537r 1.1973400e+00 6.77e-02 2.43e-01  -8.2 7.75e-01  -6.4 8.81e-03 4.09e-01h  1
 538r 1.1982606e+00 6.77e-02 2.31e-01  -8.2 8.25e+01    -  5.84e-02 3.87e-02h  2
 539r 1.2005207e+00 1.08e+00 7.70e-02  -8.2 3.05e+02    -  2.68e-02 5.16e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 540r 1.2011570e+00 9.73e-01 5.46e-02  -8.2 5.08e+01    -  3.21e-02 4.61e-02h  1
 541r 1.2012114e+00 1.06e+00 5.31e-02  -8.2 1.54e+02    -  2.02e-02 1.85e-03h  1
 542r 1.2015882e+00 4.17e-01 6.02e-02  -8.2 3.08e+01    -  9.99e-02 1.25e-01h  1
 543r 1.2011930e+00 9.78e-02 4.46e-02  -8.2 2.86e+01    -  8.11e-02 1.38e-01h  1
 544r 1.2008351e+00 6.77e-02 2.95e-02  -8.2 1.24e+02    -  2.01e-03 9.62e-03h  1
 545r 1.2008925e+00 2.54e-01 2.49e-02  -8.2 2.80e+00    -  2.27e-01 1.75e-01h  1
 546r 1.2007756e+00 2.10e-01 2.82e-02  -8.2 1.31e+01    -  4.41e-01 4.77e-02h  4
 547r 1.2018214e+00 1.05e-01 6.42e-02  -8.2 7.58e+01    -  5.71e-02 4.82e-02h  1
 548r 1.2016183e+00 6.77e-02 5.19e-02  -8.2 7.22e+00    -  9.37e-01 1.72e-01h  3
 549r 1.2015063e+00 6.77e-02 4.82e-02  -8.2 3.33e+01    -  1.07e-01 2.38e-02h  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 550r 1.2015141e+00 6.77e-02 4.71e-02  -8.2 6.94e+00    -  4.50e-01 1.35e-02h  6
 551r 1.2006098e+00 6.77e-02 3.39e-02  -8.2 5.19e+00    -  6.26e-01 9.12e-01h  1
 552r 1.2016277e+00 6.77e-02 1.35e-01  -8.2 1.17e+02    -  7.95e-02 5.29e-02H  1
 553r 1.2008120e+00 6.77e-02 1.53e-02  -8.2 8.07e+00    -  8.45e-01 9.99e-01h  1
 554r 1.2009591e+00 6.77e-02 5.66e-02  -8.2 2.09e+01    -  9.57e-01 3.67e-01H  1
 555r 1.2022977e+00 6.77e-02 1.39e-02  -8.2 7.90e+00    -  1.14e-04 8.96e-01h  1
 556r 1.2018487e+00 6.77e-02 9.17e-04  -8.2 2.56e+01    -  1.24e-01 1.59e-01h  2
 557r 1.2009877e+00 6.77e-02 4.21e-02  -8.2 1.59e+01    -  8.47e-01 5.07e-01H  1
 558r 1.2017843e+00 6.77e-02 2.66e-02  -8.2 2.05e+01    -  1.61e-01 2.35e-01F  1
 559r 1.2014276e+00 6.77e-02 3.65e-03  -8.2 8.09e+00    -  2.74e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 560r 1.2002829e+00 6.77e-02 8.80e-02  -8.2 1.18e+01    -  5.37e-01 5.85e-01H  1
 561r 1.2009616e+00 6.77e-02 3.59e-02  -8.2 5.41e+00    -  9.81e-02 5.34e-01h  1
 562r 1.2002783e+00 6.77e-02 5.23e-02  -8.2 1.92e+01    -  7.79e-06 2.28e-01f  1
 563r 1.2003120e+00 6.77e-02 1.35e-02  -8.2 2.11e+01    -  2.11e-01 1.54e-01h  2
 564r 1.2006447e+00 6.77e-02 2.41e-02  -8.2 1.60e+02    -  1.17e-01 1.13e-02h  4
 565r 1.2007112e+00 6.77e-02 1.80e-02  -8.2 6.93e+01    -  1.83e-01 1.37e-02h  4
 566r 1.2012378e+00 6.77e-02 1.14e-03  -8.2 4.10e+00    -  3.04e-01 4.12e-01h  1
 567r 1.2014470e+00 6.77e-02 1.35e-02  -8.2 6.71e+01    -  2.70e-01 5.84e-02h  2
 568r 1.2009011e+00 6.77e-02 5.82e-02  -8.2 7.28e+00    -  1.41e-01 6.61e-01H  1
 569r 1.2010404e+00 6.77e-02 1.63e-02  -8.2 9.60e+00    -  2.19e-01 5.33e-01F  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 570r 1.2012270e+00 6.77e-02 9.08e-03  -8.2 5.32e+00    -  6.28e-01 2.99e-01f  1
 571r 1.2031744e+00 6.77e-02 4.58e-02  -8.2 8.44e+00    -  6.69e-02 6.65e-01H  1
 572r 1.2033359e+00 6.77e-02 1.25e-02  -8.2 1.87e+01    -  2.47e-01 5.97e-02f  2
 573r 1.2025236e+00 6.77e-02 2.15e-02  -8.2 1.54e+01    -  1.04e-01 2.29e-01H  1
 574r 1.2020826e+00 6.77e-02 1.35e-03  -8.2 1.11e+02    -  4.85e-02 2.32e-02h  1
 575r 1.2020194e+00 6.77e-02 8.98e-04  -8.2 7.08e+00    -  5.26e-01 6.14e-02h  1
 576r 1.2020168e+00 6.77e-02 4.50e-03  -8.2 6.60e+00    -  8.03e-01 8.44e-01H  1
 577r 1.2018035e+00 6.77e-02 3.63e-03  -8.2 1.66e+01    -  5.14e-01 7.71e-02h  1
 578r 1.2013089e+00 6.77e-02 1.97e-02  -8.2 2.99e+00    -  7.07e-01 9.20e-01H  1
 579r 1.2011868e+00 6.77e-02 1.13e-02  -8.2 1.17e+02    -  1.18e-01 1.16e-02f  5
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 580r 1.2011651e+00 6.77e-02 7.34e-03  -8.2 4.24e+00    -  1.00e+00 5.39e-01H  1
 581r 1.2019829e+00 6.77e-02 4.60e-03  -8.2 9.56e+00    -  1.10e-05 4.10e-01F  1
 582r 1.2021955e+00 6.77e-02 1.28e-02  -8.2 1.44e+01    -  4.55e-01 1.29e-01f  2
 583r 1.2017347e+00 6.77e-02 1.37e-04  -8.2 1.13e+00    -  5.59e-01 1.00e+00h  1
 584r 1.2014614e+00 6.77e-02 4.13e-02  -8.2 3.94e+00    -  1.00e+00 1.00e+00H  1
 585r 1.2013664e+00 6.77e-02 2.13e-02  -8.2 4.70e+00    -  1.00e+00 1.00e+00h  1
 586r 1.2015651e+00 6.77e-02 1.13e-01  -8.2 9.41e+01    -  7.19e-02 4.77e-02h  1
 587r 1.2016024e+00 6.77e-02 1.07e-01  -8.2 8.01e+00    -  5.31e-01 6.60e-02h  4
 588r 1.2017649e+00 6.77e-02 8.43e-02  -8.2 1.62e+02    -  8.18e-02 1.47e-02h  1
 589r 1.2010697e+00 6.77e-02 3.53e-02  -8.2 1.16e+01    -  1.23e-01 2.07e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 590r 1.2013203e+00 6.77e-02 1.84e-02  -8.2 1.09e+00  -6.9 8.17e-05 4.27e-01h  1
 591r 1.2013225e+00 6.77e-02 1.85e-02  -8.2 5.67e+00    -  1.00e+00 2.50e-01h  3
 592r 1.2020293e+00 6.77e-02 2.19e-02  -8.2 9.64e-01  -7.3 4.50e-01 1.00e+00h  1
 593r 1.2019779e+00 6.77e-02 4.57e-03  -8.2 1.70e+00    -  1.00e+00 1.00e+00H  1
 594r 1.2023335e+00 6.77e-02 6.28e-03  -8.0 1.08e+01    -  7.14e-01 3.60e-01H  1
 595r 1.2018907e+00 6.77e-02 5.17e-02  -8.2 1.30e+00  -7.8 2.23e-01 1.00e+00h  1
 596r 1.2019040e+00 6.77e-02 4.97e-02  -8.2 1.31e+01    -  3.79e-01 2.45e-02h  5
 597r 1.2018364e+00 6.77e-02 4.43e-02  -8.2 1.09e+01    -  4.86e-01 4.42e-02h  3
 598r 1.2019044e+00 6.77e-02 4.27e-02  -8.2 8.23e+00    -  2.71e-01 1.95e-02h  5
 599r 1.2019167e+00 6.77e-02 4.35e-02  -8.2 4.59e+01    -  2.16e-01 2.13e-03h  6
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 600r 1.2019319e+00 6.77e-02 3.62e-02  -8.2 1.02e+01    -  6.31e-01 2.62e-02h  5
 601r 1.2012402e+00 6.77e-02 3.46e-02  -8.2 4.12e+01    -  3.13e-02 1.17e-01h  2
 602r 1.2013728e+00 6.77e-02 2.30e-02  -8.2 1.49e+01    -  6.00e-02 8.27e-02h  3
 603r 1.2015521e+00 6.77e-02 1.70e-02  -8.2 1.33e+02    -  8.90e-02 2.33e-02h  2
 604r 1.2015553e+00 6.77e-02 1.64e-02  -8.2 6.67e+00    -  2.19e-01 7.71e-03h  6
 605r 1.2016069e+00 6.77e-02 1.79e-02  -8.2 4.26e+01    -  1.23e-01 2.05e-02h  3
 606r 1.2012521e+00 6.77e-02 2.36e-02  -8.2 3.96e+01    -  7.44e-02 3.60e-02w  1
 607r 1.2013600e+00 6.77e-02 2.35e-02  -8.2 4.21e+00    -  7.08e-01 6.96e-01w  1
 608r 1.2009387e+00 6.77e-02 3.15e-02  -8.2 1.48e+01    -  1.60e-01 1.39e-01w  1
 609r 1.2014295e+00 6.77e-02 2.82e-03  -8.2 3.82e+00    -  7.44e-02 1.80e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 610r 1.2014697e+00 6.77e-02 1.01e-03  -8.2 1.12e+01    -  1.52e-01 2.93e-02h  3
 611r 1.2014914e+00 6.77e-02 1.42e-03  -8.2 1.12e+01    -  1.20e-01 1.71e-02h  3
 612r 1.2014659e+00 6.77e-02 6.77e-04  -8.2 5.80e+01    -  2.17e-01 9.81e-03h  4
 613r 1.2014760e+00 6.77e-02 3.07e-04  -8.2 5.10e+00    -  2.32e-01 4.08e-03h  7
 614r 1.2013350e+00 6.77e-02 1.09e-02  -8.2 3.76e+00    -  4.11e-01 6.29e-01h  1
 615r 1.2015579e+00 6.77e-02 2.80e-03  -8.2 2.89e+00    -  2.72e-01 3.05e-01h  1
 616r 1.2017808e+00 6.77e-02 5.07e-03  -8.2 1.07e+01    -  3.56e-01 6.09e-02f  2
 617r 1.2019202e+00 6.77e-02 3.27e-03  -8.2 8.23e+00    -  3.54e-01 7.13e-02h  1
 618r 1.2019571e+00 6.77e-02 3.81e-02  -8.2 7.86e+00    -  7.22e-02 4.15e-01H  1
 619r 1.2020239e+00 6.77e-02 3.46e-02  -8.2 6.38e+03    -  5.84e-04 1.70e-04h  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 620r 1.2019976e+00 6.77e-02 3.19e-02  -8.2 3.60e+00    -  6.49e-01 2.20e-02h  2
 621r 1.2018686e+00 6.77e-02 1.36e-03  -8.2 2.47e+00    -  6.05e-01 9.38e-01h  1
 622r 1.2020851e+00 6.77e-02 7.46e-03  -8.2 2.32e+00    -  5.26e-01 3.56e-01H  1
 623r 1.2020388e+00 6.77e-02 5.45e-03  -8.2 1.42e+00    -  1.73e-01 1.00e+00h  1
 624r 1.2017379e+00 6.77e-02 1.00e-02  -8.2 1.52e+00    -  8.67e-01 5.63e-01h  1
 625r 1.2017883e+00 6.77e-02 3.87e-03  -8.2 7.28e-01    -  4.23e-01 1.00e+00h  1
 626r 1.2020913e+00 6.77e-02 6.07e-03  -8.2 6.06e-01    -  9.39e-01 7.37e-01h  1
 627r 1.2020437e+00 6.77e-02 8.63e-03  -8.2 3.70e-01    -  1.00e+00 1.00e+00h  1
 628r 1.2015537e+00 6.77e-02 1.85e-02  -8.2 1.68e+00    -  6.41e-01 1.00e+00h  1
 629r 1.2016208e+00 6.77e-02 1.42e-02  -8.2 4.80e+00    -  4.18e-01 1.90e-01h  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 630r 1.2016646e+00 6.77e-02 1.70e-02  -8.2 1.06e+01    -  3.15e-01 4.35e-02h  3
 631r 1.2018024e+00 6.77e-02 1.01e-02  -8.2 8.27e+00    -  5.72e-01 3.90e-02h  2
 632r 1.2019118e+00 6.77e-02 8.04e-03  -8.2 2.41e+00    -  5.27e-01 1.04e-01h  2
 633r 1.2021999e+00 6.77e-02 2.91e-03  -8.2 1.05e+00    -  8.69e-01 5.00e-01h  2
 634r 1.2021176e+00 6.77e-02 1.70e-02  -8.2 2.04e+01    -  3.72e-01 1.25e-02h  5
 635r 1.2022093e+00 6.77e-02 6.83e-04  -8.2 2.37e-01    -  1.00e+00 1.00e+00h  1
 636r 1.2021637e+00 6.77e-02 3.51e-04  -8.2 3.88e-01    -  1.00e+00 1.00e+00H  1
 637r 1.2025406e+00 6.77e-02 1.84e-02  -8.8 1.18e+00    -  1.00e+00 1.00e+00h  1
 638r 1.2018512e+00 6.77e-02 1.91e-03  -8.9 1.25e+00    -  9.78e-01 1.00e+00h  1
 639r 1.2018414e+00 6.77e-02 2.30e-03  -9.0 9.37e+00    -  1.35e-01 4.48e-03h  8
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 640r 1.2012226e+00 6.77e-02 2.52e-02  -8.7 2.10e+00    -  6.21e-01 1.00e+00H  1
 641r 1.2013768e+00 6.77e-02 2.49e-02  -8.8 1.94e+01    -  1.82e-01 1.43e-02h  2
 642r 1.2017613e+00 6.77e-02 3.87e-02  -8.8 1.91e+00  -8.3 1.91e-01 4.38e-01h  1
 643r 1.2021994e+00 6.77e-02 2.92e-02  -8.8 7.84e+00    -  3.97e-02 3.02e-01f  1
